daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Kim Sung Yong,"Kim Ji Eun, Namgoong Min, Park Ha Sun, ",,2021,the veil,mặt trời đen (vén màn tội ác),Phim Hàn Quốc,Phim Hành động
daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Josh Pate,"Chase Stokes, Madelyn Cline, Madison Bailey, ",phim hành động,2021,outer banks s02,bí mật bị vùi lấp phần 2,Phim Mỹ,Phim Hành động
Che Xiaojie Yang Xinyu,"Diệp Thanh, Huỳnh Tông Trạch, Khúc Cao Vị, ",phim hành động,2019,your secret,bảy năm vẫn ngoảnh về phương bắc,Phim Trung Quốc,Phim Hành động
Cedric Nicolas Troyan,"Mary Elizabeth, Miku Martineau, Winstead, ",phim hành động,2021,kate,nữ sát thủ kate,Phim Mỹ,Phim Hành động
Kim Sung Yong,"Kim Ji Eun, Namgoong Min, Park Ha Sun, ",phim hành động,2021,the veil,mặt trời đen (vén màn tội ác),Phim Hàn Quốc,Phim Hành động
Benny Chan,"Donnie Yen, Nicholas Tse, Qin Lan, ",phim hành động,2021,raging fire,nộ hỏa,Phim Hồng Kong,Phim Hành động
Lee Eung Bok,"Joo Ji Hoon, Jun Ji Hyun, Oh Jung Se, Sung Dong Il, ",phim hành động,2021,jirisan,bí ẩn núi jiri,Phim Hàn Quốc,Phim Hành động
Lee Na-jung,"Kim Seo Hyung, Lee Bo Young, Lee Hyun Wook, ",phim hành động,2021,mine,sở hữu,Phim Hàn Quốc,Phim Hành động
Robert Schwentke,"Andrew Koji, Henry Golding, Úrsula Corberó, ",phim hành động,2021,snake eyes,g.i. joe: xà nhãn báo thù,Phim Mỹ,Phim Hành động
Tanya Wexler,"Bobby Cannavale, Kate Beckinsale, Laverne Cox, ",phim hành động,2021,jolt,rối loạn bùng nổ,Phim Mỹ,Phim Hài
Martin Campbell,"Maggie Q, Michael Keaton, Samuel L. Jackson, ",phim hành động,2021,the protege,nữ sát thủ báo thù,Phim Mỹ,Phim Hành động
Kevin Feige,Đang cập nhật,phim hành động,2021,what if,what if,Phim Mỹ,Phim Hành động
Peter Thorwarth,"Alexander Scheer, Peri Baumeister, Roland Møller, ",phim hành động,2021,blood red sky,bầu trời nhuốm máu,Phim Anh,Phim Hành động
Jyri Kähönen,"Emmanuel Castis, James Gracie, Tamer Burjaq, ",phim hành động,2019,trackers (season 1),người dò tìm dấu vết (phần 1),Phim Mỹ,Phim Hành động
James Gunn,"Idris Elba, John Cena, Margot Robbie, ",phim hành động,2021,the suicide squad,biệt đội cảm tử,Phim Mỹ,Phim Hành động
Đang cập nhật,"Chae Won Bin, Kang Seung Yoon, Lee Eol, Lee Ha na, Son Eun Seo, Song Seung Heon, ",phim hành động,2021,voice 4: judgment hour,truy tim kẻ sát nhân 4 (âm thanh tội phạm 4),Phim Hàn Quốc,Phim Hành động
Jaume Collet-Serra,"Dwayne Johnson, Édgar Ramírez, Emily Blunt, ",phim hành động,2021,jungle cruise,jungle cruise: thám hiểm rừng xanh,Phim Mỹ,Phim Hành động
Keishi Ōtomo,"Issey Takahashi, Kasumi Arimura, Takeru Satoh, ",phim hành động,2021,rurouni kenshin: the beginning (part 2),lãng khách rurouni kenshin (phần 2): khởi đầu,Phim Nhật Bản,Phim Hành động
Kim Jee-woon,"Choi Min Sik, Lee Byung Hun, ",phim hành động,2010, i saw the devil,gặp phải ác quỷ,Phim Hàn Quốc,Phim Hành động
Seo Yoo-min,"Kim Kang Woo, Seo Yea Ji, Yeom Hye-ran, ",phim hành động,2021,recalled,triệu hồi,Phim Hàn Quốc,Phim Hành động
Greg Berlanti,"Elizabeth Tulloch, Jordan Elsass, Tyler Hoechlin, ",phim hành động,2021,superman and lois (season 1),superman và lois (phần 1),Phim Mỹ,Phim Hành động
Jamie Childs,"Ariyon Bakare, Leanne Holder, Ruth Wilson, ",phim hành động,2019,his dark materials (season 1),vật chất tối của ngài (phần 1),Phim Mỹ,Phim Hành động
Trish Sie,"Ken Marino, Maxwell Simkins, Sadie Stanley, ",phim hành động,2020,the sleepover,phi vụ cuối của mẹ,Phim Mỹ,Phim Hài
J.H. Wyman,"Karl Urban, Michael Ealy, Michael Irby, ",phim hành động,2013,almost human (season 1),cảnh sát người máy (phần 1),Phim Mỹ,Phim Hành động
Trương Nghệ Mưu,"Qin Hailu, Yu Hewei, Zhang Yi, ",phim hành động,2021,cliff walkers,nhiệm vụ bí mật,Phim Trung Quốc,Phim Chiến Tranh
Han Jun hee,"Jung Hae In, Kim Sung Kyun, Koo Kyo Hwan, ",phim hành động,2021,d.p ,truy bắt lính đào ngũ,Phim Hàn Quốc,Phim Hành động
Đang cập nhật,"Hân Tuyết, Mã Viện, Vu Hòa Vỹ, ",phim hành động,2020,roving inspection team,đội tuần tra lưu động,Phim Trung Quốc,Phim Hành động
Jesús Colmenar,"Álvaro Morte, Itziar Ituño, Úrsula Coberó, ",phim hành động,2021,money heist season 5,phi vụ triệu đô (phần 5),Phim Mỹ,Phim Hành động
Choi Jung Gyu,"Ji Sung, Kim Min Jung, Park Jin Young, ",phim hành động,2021,the devil judge,thẩm phán ác ma,Phim Hàn Quốc,Phim Hành động
SK Dale,"Callan Mulvey, Eoin Macken, Megan Fox, ",phim hành động,2021,till death,cho đến lúc chết,Phim Mỹ,Phim Hành động
Ricky Staub,"Caleb McLaughlin, Idris Elba, Jharrel Jerome, ",phim hành động,2020,concrete cowboy,cao bồi đô thị,Phim Mỹ,Phim Hành động
Đang cập nhật,"Khương Siêu, Phan Việt Minh, Trương Vũ Kỳ, ",phim hành động,2021,candle in the tomb: the worm valley,ma thổi đèn: vân nam trùng cốc,Phim Trung Quốc,Phim Hành động
Hwang Dong Hyuk,"Lee Jung Jae, Park Hae Soo, Wi Ha Jun, ",phim hành động,2021,squid game,trò chơi con mực,Phim Hàn Quốc,Phim Hành động
Rodo Sayagues,"Brendan Sexton III, Madelyn Grace, Stephen Lang, ",phim hành động,2021,don't breathe 2,sát nhân trong bóng tối 2,Phim Mỹ,Phim Hành động
Kongkiat Khomsiri,"Daweerit Chullasapya, Sahajak Boonthanakit, Suda Chuenban, ",phim hành động,2021,bangkok breaking,báo động bangkok,Phim Thái Lan,Phim Hành động
Đỗ Tu Bân,"Lữ Lương Vỹ, Nguyên Bưu, Từ Đông Đông, ",phim hành động,2021,heros return,anh hùng trở về,Phim Trung Quốc,Phim Chiến Tranh
Kim Hyung-joo,"Kim Young Kwang, Lee Sun Bin, ",phim hành động,2021,mission: possible,nhiệm vụ khả thi,Phim Hàn Quốc,Phim Hài
Navot Papushado,"Carla Gugino, Karen Gillan, Lena Headey, ",phim hành động,2021,gunpowder milkshake,mẹ con sát thủ,Phim Mỹ,Phim Hài
Shawn Levy,"Jodie Comer, Lil Rel Howery, Ryan Reynolds, ",phim hành động,2021,free guy,giải cứu guy,Phim Mỹ,Phim Hành động
Kim Ba Da,"Ahn Bo Hyun, Han So Hee, Park Hee soon, ",phim hành động,2021,my name,tên của tôi,Phim Hàn Quốc,Phim Hành động
Brian Andrew Mendoza,"Isabela Merced, Jason Momoa, Manuel Garcia-Rulfo, ",phim hành động,2021,sweet girl,cô gái ngọt ngào,Phim Mỹ,Phim Hành động
