daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
,"Cúc Tịnh Y,Tăng Thuấn Hy,Uông Trác Thành,Vương Dịch Đình,Lý Dịch Trăn,Lý Quân Nhuệ",Phim Cổ Trang - Thần Thoại,2021,rebirth for you,mộ nam chi,Trung Quốc,Cổ Trang - Thần Thoại
Quách Hổ,"Trương Chỉ Khê,Đồng Mộng Thực,Hướng Hạo,Trình Nghiên Thu,Vương Hạo Tranh,Lý Nhược Gia",Phim Cổ Trang - Thần Thoại,2021,bright as the moon,sáng như trăng trong mây,Trung Quốc,"Cổ Trang - Thần Thoại,Thuyết Minh"
Trần Tụ Lực,"Cành Nghiệp Đình,Oa Nhĩ,Đoàn Tinh Vũ",Phim Cổ Trang - Thần Thoại,2021,awakened demon,ma đồng tây du: hồng hài nhi,Trung Quốc,Cổ Trang - Thần Thoại
Song Hyun Wook,"Park Eun Bin,Rowoon,Nam Yoon Su,Choi Byung Chan,Bae Yoon Kyung,Jung Chae Yeon",Phim Cổ Trang - Thần Thoại,2021,the king's affection,luyến mộ,Hàn Quốc,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm,Thuyết Minh"
Vu Chính,"Vương Nhất Triết,Bạch Lộc,Kim Thần,Trịnh Thu Hoằng,Lạt Mục Dương Tử,Hách Lôi",Phim Cổ Trang - Thần Thoại,2021,song of youth,ngọc lâu xuân,Trung Quốc,Cổ Trang - Thần Thoại
,,Phim Cổ Trang - Thần Thoại,2021,xingchen bian: yu li cang,tinh thần biến (phần 2),Trung Quốc,"Cổ Trang - Thần Thoại,Hoạt Hình"
Lưu Quốc Nam,"Thành Nghị,Trương Dư Hi,Hàn Đống,Tuyên Lộ,Hà Thịnh Minh,Tập Tuyết,Dương Hật Tử,Lý Tuấn Dật,Phó Phương Tuấn",Phim Cổ Trang - Thần Thoại,2021,dream of chang'an,dữ quân ca,Trung Quốc,Cổ Trang - Thần Thoại
Jang Tae Yoo,"Kim Yoo Jung,Ahn Hyo Seop,Gong Myung,Kwak Shi Yang,Lee Bo Hee,Go Gyu Pil",Phim Cổ Trang - Thần Thoại,2021,lovers of the red sky,bầu trời rực đỏ,Hàn Quốc,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm,Thuyết Minh"
,"Nhậm Gia Luân,Bạch Lộc,Lý Nghi Nho,Tô Mộng Vân,Ngô Mạn Tư,Vương Tinh Việt",Phim Cổ Trang - Thần Thoại,2021,one and only,trường an như cố,Trung Quốc,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm,Thuyết Minh"
,"Hoàng Nhật Oánh,La Chính,Nghiêm Tử Hiền,Phùng Lệ Quân,Vương Thuật Thất",Phim Cổ Trang - Thần Thoại,2021,sleeping in the galaxy in spring,xuân lai chẩm tinh hà,Trung Quốc,"Cổ Trang - Thần Thoại,Hài Hước"
Brenda Chapman,"Angelina Jolie,Gugu Mbatha-Raw,Carter Thomas",Phim Cổ Trang - Thần Thoại,2020,come away,đi thật xa,Âu - Mỹ,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm"
,"Quách Tuấn Thần,Khang Ninh,Hà Mỹ Toàn",Phim Cổ Trang - Thần Thoại,2021,bai ling tan,bách linh đàm,Trung Quốc,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm,Thuyết Minh"
Lâm Phong,"Mao Hiểu Tuệ,Đồng Mộng Thực,Văn Kỳ,Mao Lâm Lâm,Tông Phong Nham,Đồ Băng,Thiệu Binh,Cung Bội Tất",Phim Cổ Trang - Thần Thoại,2019,the return of the condor heroes,tân thần điêu đại hiệp,Trung Quốc,"Cổ Trang - Thần Thoại,Võ Thuật - Kiếm Hiệp"
Hồ Quốc Hãn,"Vu Thần,Bàn Trường Giang,Hứa Mộng Viên",Phim Cổ Trang - Thần Thoại,2020,forensic medicine song ci,pháp y tống từ,Trung Quốc,Cổ Trang - Thần Thoại
Phổ Vũ,"Hứa Quân Thông,Bốc Ngọc",Phim Cổ Trang - Thần Thoại,2021,"big talk, god catcher",đại thoại thần bộ,Trung Quốc,"Cổ Trang - Thần Thoại,Hài Hước"
Châu Kính Phong,"Hoài Văn,Lang Phong,Khương Manh Hiên",Phim Cổ Trang - Thần Thoại,2021,the legend of deiflcation,thác tháp thiên vương,Trung Quốc,Cổ Trang - Thần Thoại
M. Night Shyamalan,"Gael García Bernal,Vicky Krieps,Rufus Sewell",Phim Kinh Dị - Ma,2021,old,già,Âu - Mỹ,"Tâm Lý - Tình Cảm,Kinh Dị - Ma"
,"Kate Siegel,Zach Gilford,Hamish Linklater,Henry Thomas,Kristin Lehman,Samantha Sloyan",Phim Kinh Dị - Ma,2021,midnight mass,thánh lễ ác mộng,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Hwang Dong Hyuk,"Lee Jung Jae,Park Hae Soo,Heo Sung Tae,Wi Ha Joon,Jung Ho Yeon,Im Ki Hong",Phim Kinh Dị - Ma,2021,squid game,trò chơi con mực,Hàn Quốc,"Tâm Lý - Tình Cảm,Hình Sự - Chiến Tranh,Kinh Dị - Ma,Thuyết Minh"
