daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Alan MakWai-keung Lau,"Anthony Wong Chau-Sang, Edison Chen, Shawn Yue, ",Phim Hành động,2003,infernal affairs 2,vô gian đạo 2,Phim Hồng Kong,Phim Hành động
Brian A Miller,"Meadow Williams, Ryan Guzman, Sylvester Stallone, ",Phim Hành động,2018,backtrace,truy lùng tội ác,Phim Mỹ,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Anthony Wong Chau-Sang, Tony Leung Chiu Wai, ",Phim Hành động,2002,infernal affair,vô gian đạo,Phim Hồng Kong,Phim Hành động
Choi Joon Bae,"Ahn Jae Wook, Kim Jung Nan, Kyung Soo Jin, Lee Hee Joon, Lee Seung Gi, Park Joo Hyun, ",Phim Hành động,2021,mouse,kẻ săn người,Phim Hàn Quốc,Phim Hành động
Wang Baoqiang,"Liu Haoran, Wang Baoqiang, ",Phim Hành động,2020,detective chinatown 3,thám tử phố tàu 3,Phim Trung Quốc,Phim Hành động
Kim Joo-Hwan,"Choi Woo Sik, Kim Si-eun, Park Seo Joon, ",Phim Hành động,2019,the divine fury,sứ giả của chúa,Phim Hàn Quốc,Phim Hành động
Paul Greengrass,"David Strathairn, Julia Stiles, Matt Damon, ",Phim Hành động,2007,the bourne ultimatum,tối hậu thư của bourne,Phim Mỹ,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Leon Lai, Tony Leung Chiu Wai, ",Phim Hành động,2003,infernal affairs 3,vô gian đạo 3,Phim Hồng Kong,Phim Hành động
Kenji Kodama,"Doug Burks, Laura Bailey, ",Phim Hoạt Hình,2000,detective conan movie 4: captured in her eyes,thám tử conan movie 4: thủ phạm trong đôi mắt,Phim Nhật Bản,Phim Hoạt Hình
Zack Snyder,"Dave Bautista, Ella Purnell, Omari Hardwick, ",Phim Hành động,2021,army of the dead,đội quân người chết,Phim Mỹ,Phim Hành động
Kenji Kodama,"Laura Bailey, Mie Akagi, ",Phim Hoạt Hình,2001,detective conan movie 5: countdown to heaven,thám tử conan movie 5: những giây cuối cùng tới thiên đường,Phim Nhật Bản,Phim Hoạt Hình
Kunihiko Yuyama,"Ikue Otani, ",Phim Hoạt Hình,2016,pokémon the movie: volcanion and the mechanical marvel,pokemon movie 19 xyz: volkenion và magiana siêu máy móc,Phim Nhật Bản,Phim Hoạt Hình
Alexandre Aja,"Barry Pepper, Kaya Scodelario, ",Phim Hành động,2019,crawl,địa đạo cá sấu tử thần,Phim Mỹ,Phim Hành động
Thập Nhất Nguyệt,"Dương Dương, Giang Sơ Ảnh, Lại Vũ Mông, Lương Dịch Mộc, Lý Ngọc Khiết, Tôn Ninh, ",Phim Hành động,2019,the king's avatar,toàn chức cao thủ,Phim Trung Quốc,Phim Hành động
Banjong Pisanthanakun,"Davika Hoorne, Mario Maurer, Nattapong Chartpong, ",Phim Kinh Dị,2013,pee mak phrakanong,tình người duyên ma,Phim Thái Lan,Phim Hài
Glen Hill,"Dixie Carter, Hal Holbrook, Robby Benson, ",Phim Hoạt Hình,2000,the life & adventures of santa claus,cuộc sống và những chuyến phiêu lưu của ông già tuyết,Phim Mỹ,Phim Hoạt Hình
Pakphum Wongjinda,"Apittha Khlaiudom, Chayarop Pratit, Panupan Jantanawong, Parkin Borwornsiriluck, ",Phim Kinh Dị,2014,possessed,ma xuất ma nhập,Phim Thái Lan,Phim Hài
Dai Wei,"Chen Yuan, Li Wei Dau Wei, Si Ligeng, ",Phim Kinh Dị,2014,shining soul,linh hồn trong sáng,Phim Trung Quốc,Phim Kinh Dị
Catherine Hardwicke,"Justin Chon, Kristen Stewart, Robert Pattinson, ",Phim Kinh Dị,2008,twilight,chạng vạng,Phim Mỹ,Phim Kinh Dị
Tyler Gillet,"Allison Miller, Steffie Grote, Zach Gilford, ",Phim Kinh Dị,2013,devil's due,con quỷ,Phim Mỹ,Phim Kinh Dị
Stephen Hopkins,"Ben Schwartz, Don Cheadle, Kristen Bell, ",Phim Kinh Dị,2013,death do us part,kẻ phải giết,Phim Mỹ,Phim Kinh Dị
Greg Mclean,"John Jarratt, Ryan Corr, Shannon Ashlyn, ",Phim Kinh Dị,2014,wolf creek 2,thung lũng sói 2,Phim Mỹ,Phim Kinh Dị
Brett Ratner,"Anthony Hopkins, Edward Norton, Ralph Fiennes, ",Phim Kinh Dị,2002,red dragon,rồng đỏ,Phim Mỹ,Phim Kinh Dị
Zach Lipovsky,"Danica McKellar, Kenneth Mitchell, ",Phim Kinh Dị,2013,tasmanian devils,ác quỷ hộ sơn,Phim Mỹ,Phim Kinh Dị
Zhou Yaowu,"Hu Bing, Monica Mok, Wang Shuangbao, ",Phim Kinh Dị,2012,harpoon,đảo kinh hoàng,Phim Hàn Quốc,Phim Kinh Dị
Mac Carter,"Harrison Gilbertson, Jacki Weaver, Liana Liberato, ",Phim Kinh Dị,2014,haunt,nhà ma,Phim Mỹ,Phim Kinh Dị
David Mun,"Christian Oliver, Marietta Marich, Rachel Marie Lewis, ",Phim Kinh Dị,2013,house of good and evil,nhà quỷ,Phim Mỹ,Phim Kinh Dị
