daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Paul Greengrass,"David Strathairn, Julia Stiles, Matt Damon, ",Phim Hành động,2007,the bourne ultimatum,tối hậu thư của bourne,Phim Mỹ,Phim Hành động
Jason Rothenberg,"Bob Morley, Eliza Taylor, Marie Avgeropoulos, ",Phim Hành động,2020,the 100 season 7,100 tù nhân (phần 7),Phim Mỹ,Phim Chiến Tranh
Marcelo Slavich,"Camila Selser, Carlos Aragón, Tony Dalton, ",Phim Hành động,2013,sr. ávila ,trùm sát thủ,Phim Khác,Phim Hành động
Hicham Hajji,"Gary Dourdan, Martin Donovan, Serinda Swan, ",Phim Hành động,2021,redemption day,cuộc giải cứu sinh tử,Phim Mỹ,Phim Hành động
Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, ",Phim Hành động,2021,below zero,dưới không độ,Phim Khác,Phim Hành động
Peter Mimi,"Ahmed el-Sakka, Amir Karara, Ghadah Abdulrazeq, Scott Adkins, ",Phim Hành động,2018,no surrender,không đầu hàng,Phim Khác,Phim Hành động
Kim Joo-Hwan,"Choi Woo Sik, Kim Si-eun, Park Seo Joon, ",Phim Hành động,2019,the divine fury,sứ giả của chúa,Phim Hàn Quốc,Phim Hành động
Alexandre Aja,"Barry Pepper, Kaya Scodelario, ",Phim Hành động,2019,crawl,địa đạo cá sấu tử thần,Phim Mỹ,Phim Hành động
Jee-woon Kim,"Arnold Schwarzenegger, Chris Browning, Christiana Leucas, Forest Whitaker, Jaimie Alexander, Johnny Knoxville, Peter Stormare, ",Phim Hành động,2013,the last stand,chốt chặn cuối cùng,Phim Mỹ,Phim Hành động
Joss Whedon,"Chris Evans, Robert Downey Jr, Scarlett Johansson, ",Phim Hành động,2012,the avengers,siêu anh hùng báo thù,Phim Mỹ,Phim Hành động
Louis Leterrier,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, ",Phim Hành động,2013,now you see me,phi vụ thế kỷ,Phim Mỹ,Phim Hành động
Jackie Chan,"Jackie Chan, Laura Weissbecker, Oliver Platt, ",Phim Hành động,2012,chinese zodiac,12 con giáp,Phim Trung Quốc,Phim Hài
Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, ",Phim Hành động,2013,parker,tay trộm chuyên nghiệp,Phim Mỹ,Phim Hành động
